X_index,Y_index,X_um,Y_um
31,17,6.2,3.4
32,17,6.4,3.4
33,17,6.6,3.4
34,17,6.8,3.4
35,17,7.0,3.4
36,17,7.2,3.4
37,17,7.4,3.4
38,17,7.6,3.4
39,17,7.8,3.4
40,17,8.0,3.4
41,17,8.2,3.4
42,17,8.4,3.4
43,17,8.6,3.4
44,17,8.8,3.4
45,17,9.0,3.4
46,17,9.2,3.4
47,17,9.4,3.4
48,17,9.6,3.4
49,17,9.8,3.4
50,17,10.0,3.4
51,17,10.2,3.4
52,17,10.4,3.4
53,17,10.6,3.4
54,17,10.8,3.4
55,17,11.0,3.4
56,17,11.2,3.4
57,17,11.4,3.4
58,17,11.6,3.4
59,17,11.8,3.4
60,17,12.0,3.4
61,17,12.2,3.4
62,17,12.4,3.4
63,17,12.6,3.4
64,17,12.8,3.4
65,17,13.0,3.4
66,17,13.2,3.4
67,17,13.4,3.4
68,17,13.6,3.4
69,17,13.8,3.4
70,17,14.0,3.4
71,17,14.2,3.4
72,17,14.4,3.4
73,17,14.6,3.4
74,17,14.8,3.4
75,17,15.0,3.4
76,17,15.2,3.4
77,17,15.4,3.4
78,17,15.6,3.4
79,17,15.8,3.4
80,17,16.0,3.4
81,17,16.2,3.4
82,17,16.4,3.4
83,17,16.6,3.4
84,17,16.8,3.4
85,17,17.0,3.4
86,17,17.2,3.4
87,17,17.4,3.4
88,17,17.6,3.4
89,17,17.8,3.4
90,17,18.0,3.4
91,17,18.2,3.4
92,17,18.4,3.4
93,17,18.6,3.4
94,17,18.8,3.4
95,17,19.0,3.4
96,17,19.2,3.4
97,17,19.4,3.4
98,17,19.6,3.4
99,17,19.8,3.4
100,17,20.0,3.4
101,17,20.2,3.4
102,17,20.4,3.4
103,17,20.6,3.4
104,17,20.8,3.4
105,17,21.0,3.4
106,17,21.2,3.4
107,17,21.4,3.4
108,17,21.6,3.4
109,17,21.8,3.4
110,17,22.0,3.4
111,17,22.2,3.4
112,17,22.4,3.4
113,17,22.6,3.4
114,17,22.8,3.4
115,17,23.0,3.4
116,17,23.2,3.4
117,17,23.4,3.4
118,17,23.6,3.4
119,17,23.8,3.4
120,17,24.0,3.4
121,17,24.2,3.4
122,17,24.4,3.4
123,17,24.6,3.4
124,17,24.8,3.4
125,17,25.0,3.4
126,17,25.2,3.4
127,17,25.4,3.4
128,17,25.6,3.4
129,17,25.8,3.4
130,17,26.0,3.4
131,17,26.2,3.4
132,17,26.4,3.4
133,17,26.6,3.4
134,17,26.8,3.4
135,17,27.0,3.4
136,17,27.2,3.4
137,17,27.4,3.4
138,17,27.6,3.4
139,17,27.8,3.4
140,17,28.0,3.4
141,17,28.2,3.4
142,17,28.4,3.4
143,17,28.6,3.4
144,17,28.8,3.4
145,17,29.0,3.4
146,17,29.2,3.4
147,17,29.4,3.4
148,17,29.6,3.4
149,17,29.8,3.4
150,17,30.0,3.4
151,17,30.2,3.4
152,17,30.4,3.4
153,17,30.6,3.4
154,17,30.8,3.4
155,17,31.0,3.4
156,17,31.2,3.4
157,17,31.4,3.4
158,17,31.6,3.4
159,17,31.8,3.4
159,18,31.8,3.6
158,18,31.6,3.6
157,18,31.4,3.6
156,18,31.2,3.6
155,18,31.0,3.6
154,18,30.8,3.6
153,18,30.6,3.6
152,18,30.4,3.6
151,18,30.2,3.6
150,18,30.0,3.6
149,18,29.8,3.6
148,18,29.6,3.6
147,18,29.4,3.6
146,18,29.2,3.6
145,18,29.0,3.6
144,18,28.8,3.6
143,18,28.6,3.6
142,18,28.4,3.6
141,18,28.2,3.6
140,18,28.0,3.6
139,18,27.8,3.6
138,18,27.6,3.6
137,18,27.4,3.6
136,18,27.2,3.6
135,18,27.0,3.6
134,18,26.8,3.6
133,18,26.6,3.6
132,18,26.4,3.6
131,18,26.2,3.6
130,18,26.0,3.6
129,18,25.8,3.6
128,18,25.6,3.6
127,18,25.4,3.6
126,18,25.2,3.6
125,18,25.0,3.6
124,18,24.8,3.6
123,18,24.6,3.6
122,18,24.4,3.6
121,18,24.2,3.6
120,18,24.0,3.6
119,18,23.8,3.6
118,18,23.6,3.6
117,18,23.4,3.6
116,18,23.2,3.6
115,18,23.0,3.6
114,18,22.8,3.6
113,18,22.6,3.6
112,18,22.4,3.6
111,18,22.2,3.6
110,18,22.0,3.6
109,18,21.8,3.6
108,18,21.6,3.6
107,18,21.4,3.6
106,18,21.2,3.6
105,18,21.0,3.6
104,18,20.8,3.6
103,18,20.6,3.6
102,18,20.4,3.6
101,18,20.2,3.6
100,18,20.0,3.6
99,18,19.8,3.6
98,18,19.6,3.6
97,18,19.4,3.6
96,18,19.2,3.6
95,18,19.0,3.6
94,18,18.8,3.6
