X_index,Y_index,X_um,Y_um
132,52,26.4,10.4
133,52,26.6,10.4
134,52,26.8,10.4
135,52,27.0,10.4
136,52,27.2,10.4
137,52,27.4,10.4
138,52,27.6,10.4
138,53,27.6,10.6
137,53,27.4,10.6
136,53,27.2,10.6
135,53,27.0,10.6
134,53,26.8,10.6
133,53,26.6,10.6
132,53,26.4,10.6
131,53,26.2,10.6
130,53,26.0,10.6
129,53,25.8,10.6
128,53,25.6,10.6
127,53,25.4,10.6
127,54,25.4,10.8
126,54,25.2,10.8
125,54,25.0,10.8
124,54,24.8,10.8
123,54,24.6,10.8
122,54,24.4,10.8
122,55,24.4,11.0
121,55,24.2,11.0
120,55,24.0,11.0
119,55,23.8,11.0
118,55,23.6,11.0
117,55,23.4,11.0
117,56,23.4,11.2
116,56,23.2,11.2
115,56,23.0,11.2
114,56,22.8,11.2
113,56,22.6,11.2
112,56,22.4,11.2
112,57,22.4,11.4
111,57,22.2,11.4
110,57,22.0,11.4
109,57,21.8,11.4
108,57,21.6,11.4
107,57,21.4,11.4
107,58,21.4,11.6
106,58,21.2,11.6
105,58,21.0,11.6
104,58,20.8,11.6
103,58,20.6,11.6
102,58,20.4,11.6
102,59,20.4,11.8
101,59,20.2,11.8
100,59,20.0,11.8
99,59,19.8,11.8
98,59,19.6,11.8
97,59,19.4,11.8
97,60,19.4,12.0
96,60,19.2,12.0
95,60,19.0,12.0
94,60,18.8,12.0
93,60,18.6,12.0
92,60,18.4,12.0
92,61,18.4,12.2
91,61,18.2,12.2
90,61,18.0,12.2
89,61,17.8,12.2
88,61,17.6,12.2
87,61,17.4,12.2
87,62,17.4,12.4
86,62,17.2,12.4
85,62,17.0,12.4
84,62,16.8,12.4
83,62,16.6,12.4
82,62,16.4,12.4
82,63,16.4,12.6
81,63,16.2,12.6
80,63,16.0,12.6
79,63,15.8,12.6
78,63,15.6,12.6
77,63,15.4,12.6
77,64,15.4,12.8
76,64,15.2,12.8
75,64,15.0,12.8
74,64,14.8,12.8
73,64,14.6,12.8
72,64,14.4,12.8
72,65,14.4,13.0
71,65,14.2,13.0
70,65,14.0,13.0
69,65,13.8,13.0
68,65,13.6,13.0
67,65,13.4,13.0
67,66,13.4,13.2
66,66,13.2,13.2
65,66,13.0,13.2
64,66,12.8,13.2
63,66,12.6,13.2
62,66,12.4,13.2
62,67,12.4,13.4
61,67,12.2,13.4
60,67,12.0,13.4
59,67,11.8,13.4
58,67,11.6,13.4
57,67,11.4,13.4
57,68,11.4,13.6
56,68,11.2,13.6
55,68,11.0,13.6
54,68,10.8,13.6
53,68,10.6,13.6
52,68,10.4,13.6
52,69,10.4,13.8
51,69,10.2,13.8
50,69,10.0,13.8
49,69,9.8,13.8
48,69,9.6,13.8
47,69,9.4,13.8
47,70,9.4,14.0
46,70,9.2,14.0
45,70,9.0,14.0
44,70,8.8,14.0
43,70,8.6,14.0
42,70,8.4,14.0
42,71,8.4,14.2
41,71,8.2,14.2
40,71,8.0,14.2
39,71,7.8,14.2
38,71,7.6,14.2
37,71,7.4,14.2
37,72,7.4,14.4
36,72,7.2,14.4
35,72,7.0,14.4
34,72,6.8,14.4
33,72,6.6,14.4
32,72,6.4,14.4
32,73,6.4,14.6
31,73,6.2,14.6
30,73,6.0,14.6
29,73,5.8,14.6
28,73,5.6,14.6
27,73,5.4,14.6
27,74,5.4,14.8
26,74,5.2,14.8
25,74,5.0,14.8
24,74,4.8,14.8
23,74,4.6,14.8
22,74,4.4,14.8
22,75,4.4,15.0
21,75,4.2,15.0
20,75,4.0,15.0
19,75,3.8,15.0
18,75,3.6,15.0
17,75,3.4,15.0
16,75,3.2,15.0
16,76,3.2,15.2
15,76,3.0,15.2
14,76,2.8,15.2
13,76,2.6,15.2
12,76,2.4,15.2
11,76,2.2,15.2
11,77,2.2,15.4
10,77,2.0,15.4
9,77,1.8,15.4
8,77,1.6,15.4
7,77,1.4,15.4
6,77,1.2,15.4
6,78,1.2,15.6
7,78,1.4,15.6
8,78,1.6,15.6
9,78,1.8,15.6
10,78,2.0,15.6
11,78,2.2,15.6
12,78,2.4,15.6
12,77,2.4,15.4
13,77,2.6,15.4
14,77,2.8,15.4
15,77,3.0,15.4
16,77,3.2,15.4
17,77,3.4,15.4
17,76,3.4,15.2
18,76,3.6,15.2
19,76,3.8,15.2
20,76,4.0,15.2
21,76,4.2,15.2
22,76,4.4,15.2
23,76,4.6,15.2
23,75,4.6,15.0
24,75,4.8,15.0
25,75,5.0,15.0
26,75,5.2,15.0
27,75,5.4,15.0
28,75,5.6,15.0
28,74,5.6,14.8
29,74,5.8,14.8
30,74,6.0,14.8
31,74,6.2,14.8
32,74,6.4,14.8
33,74,6.6,14.8
33,73,6.6,14.6
34,73,6.8,14.6
35,73,7.0,14.6
36,73,7.2,14.6
37,73,7.4,14.6
38,73,7.6,14.6
38,72,7.6,14.4
39,72,7.8,14.4
40,72,8.0,14.4
41,72,8.2,14.4
42,72,8.4,14.4
43,72,8.6,14.4
43,71,8.6,14.2
44,71,8.8,14.2
45,71,9.0,14.2
46,71,9.2,14.2
47,71,9.4,14.2
48,71,9.6,14.2
48,70,9.6,14.0
49,70,9.8,14.0
50,70,10.0,14.0
51,70,10.2,14.0
52,70,10.4,14.0
53,70,10.6,14.0
53,69,10.6,13.8
54,69,10.8,13.8
55,69,11.0,13.8
56,69,11.2,13.8
57,69,11.4,13.8
58,69,11.6,13.8
58,68,11.6,13.6
59,68,11.8,13.6
60,68,12.0,13.6
61,68,12.2,13.6
62,68,12.4,13.6
63,68,12.6,13.6
63,67,12.6,13.4
64,67,12.8,13.4
65,67,13.0,13.4
66,67,13.2,13.4
67,67,13.4,13.4
68,67,13.6,13.4
68,66,13.6,13.2
69,66,13.8,13.2
70,66,14.0,13.2
71,66,14.2,13.2
72,66,14.4,13.2
73,66,14.6,13.2
73,65,14.6,13.0
74,65,14.8,13.0
75,65,15.0,13.0
76,65,15.2,13.0
77,65,15.4,13.0
78,65,15.6,13.0
78,64,15.6,12.8
79,64,15.8,12.8
80,64,16.0,12.8
81,64,16.2,12.8
82,64,16.4,12.8
83,64,16.6,12.8
83,63,16.6,12.6
84,63,16.8,12.6
85,63,17.0,12.6
86,63,17.2,12.6
87,63,17.4,12.6
88,63,17.6,12.6
88,62,17.6,12.4
89,62,17.8,12.4
90,62,18.0,12.4
91,62,18.2,12.4
92,62,18.4,12.4
93,62,18.6,12.4
93,61,18.6,12.2
94,61,18.8,12.2
95,61,19.0,12.2
96,61,19.2,12.2
97,61,19.4,12.2
98,61,19.6,12.2
98,60,19.6,12.0
99,60,19.8,12.0
100,60,20.0,12.0
101,60,20.2,12.0
102,60,20.4,12.0
103,60,20.6,12.0
103,59,20.6,11.8
104,59,20.8,11.8
105,59,21.0,11.8
106,59,21.2,11.8
107,59,21.4,11.8
108,59,21.6,11.8
108,58,21.6,11.6
109,58,21.8,11.6
110,58,22.0,11.6
111,58,22.2,11.6
112,58,22.4,11.6
113,58,22.6,11.6
113,57,22.6,11.4
114,57,22.8,11.4
115,57,23.0,11.4
116,57,23.2,11.4
117,57,23.4,11.4
118,57,23.6,11.4
118,56,23.6,11.2
119,56,23.8,11.2
120,56,24.0,11.2
121,56,24.2,11.2
122,56,24.4,11.2
123,56,24.6,11.2
123,55,24.6,11.0
124,55,24.8,11.0
125,55,25.0,11.0
126,55,25.2,11.0
127,55,25.4,11.0
128,55,25.6,11.0
128,54,25.6,10.8
129,54,25.8,10.8
130,54,26.0,10.8
131,54,26.2,10.8
132,54,26.4,10.8
133,54,26.6,10.8
134,54,26.8,10.8
135,54,27.0,10.8
136,54,27.2,10.8
137,54,27.4,10.8
138,54,27.6,10.8
138,55,27.6,11.0
137,55,27.4,11.0
136,55,27.2,11.0
135,55,27.0,11.0
134,55,26.8,11.0
133,55,26.6,11.0
132,55,26.4,11.0
131,55,26.2,11.0
130,55,26.0,11.0
129,55,25.8,11.0
129,56,25.8,11.2
128,56,25.6,11.2
127,56,25.4,11.2
126,56,25.2,11.2
125,56,25.0,11.2
124,56,24.8,11.2
124,57,24.8,11.4
123,57,24.6,11.4
122,57,24.4,11.4
121,57,24.2,11.4
120,57,24.0,11.4
119,57,23.8,11.4
119,58,23.8,11.6
118,58,23.6,11.6
117,58,23.4,11.6
116,58,23.2,11.6
115,58,23.0,11.6
114,58,22.8,11.6
114,59,22.8,11.8
113,59,22.6,11.8
112,59,22.4,11.8
111,59,22.2,11.8
110,59,22.0,11.8
109,59,21.8,11.8
109,60,21.8,12.0
108,60,21.6,12.0
107,60,21.4,12.0
106,60,21.2,12.0
105,60,21.0,12.0
104,60,20.8,12.0
104,61,20.8,12.2
103,61,20.6,12.2
102,61,20.4,12.2
101,61,20.2,12.2
100,61,20.0,12.2
